Date,XLB,XLE,XLF,XLI,XLK,XLP,XLRE,XLU,XLV,XLY
2015-10-09,-0.0004526023027583981,-0.006506538298515132,-0.0064335919025261526,0.0033775037482351657,0.004348744561130536,0.0022265861844953153,-0.0016562878464287853,-0.004783914654302642,0.004539947580840365,0.0011588941903875433
2015-10-12,-0.008644412555732797,-0.01299361774429968,0.0008603100015163149,0.00018749632035302272,0.0012046589186853257,0.002624970200925275,0.00628005617777882,0.008866440119655056,0.002626726574858723,0.004748750083949879
2015-10-13,-0.003891167205047058,-0.01048871872062238,-0.007768635744688246,-0.010733529943444366,-0.0021697015622378518,-0.006068234572607359,-0.00628005617777876,-0.0022658771851181317,-0.012612415445176342,-0.005392524439239206
2015-10-14,0.007995035793474844,0.008576330569468561,-0.00826612875253854,-0.010849989763682172,-0.001932052720955898,-0.011631478838289947,0.0,-0.00022684007454251587,-0.0019203835257967043,-0.010223047091763459
2015-10-15,0.0027270135924489865,0.017802860266701696,0.022462780535176315,0.010849989763682141,0.012732763094786487,0.00899040748835142,-0.0029886858959147144,0.014641472881838553,0.022082080045189825,0.012923218638806966
2015-10-16,0.0004533167287533048,0.0013009776734422126,0.0059623447990376525,-0.005124875426528958,0.001907733968674977,0.009515276209574416,0.018843737588758343,0.0013407496439990143,0.008927299251302454,0.005251149507301049
2015-10-19,-0.0070558535850211036,-0.019987443357636456,-0.0008491645743739059,0.0013313054154164066,0.0038051960356679892,0.004423388708613372,0.011615550026691098,0.0006697013203776907,0.003577122606451373,0.004714690937774859
2015-10-20,0.0015979267052926662,0.002795993568646369,0.005931905211175517,0.0066290294045317465,-0.0026143883156458346,-0.0006021029220831467,0.0009672309365334627,0.0033419143050977145,-0.01583655821999026,-0.0012721268622393023
2015-10-21,-0.008933676272899208,-0.012421030845960725,-0.007207492598177239,0.00018894747550633834,-0.007644448874226724,0.00020057244252543927,0.000805223579480061,-0.0020036177344907695,-0.009037915618801412,-0.0044658874024077165
2015-10-22,0.027012839851513593,0.0178435720547168,0.016040400340636665,0.027552143951421856,0.0222915306294258,0.019672958968700537,0.012575739251951441,0.011522428875370885,-0.006021781600616565,0.013083916099429367
2015-10-23,0.008252547507348518,-0.002341816317864625,0.01082893106567937,0.0036656344025120463,0.02752584188019278,-0.001575496338521273,-0.012092951396187266,-0.017782574885478648,0.02113585585364622,0.004909757652461471
2015-10-26,-0.008252547507348556,-0.02476932557563363,-0.004151148695090967,-0.0021977004124813415,-0.003886290739400687,-0.001972792678243115,0.0012867946638164824,-0.003594514417929049,0.0038869290709534644,0.007008494785624809
2015-10-27,-0.004264096429541329,-0.01208639751066781,-0.005840758981258752,-0.011062221109162409,-0.005742449046111617,0.0013812539334409223,0.0002573187349364201,-0.003607722730658744,0.01822384549488012,-0.004750697687533784
2015-10-28,0.01495694327871164,0.021949368402247333,0.023160979929566006,0.007940197054864376,0.014862032068309544,-0.005735286337764408,-0.003638085632720833,-0.010673147904997357,0.00828949345559549,0.00947797800001319
2015-10-29,0.001992359266069527,0.005042817962266611,-0.0012269997630418579,-0.0005518591523621906,-0.0027270259201293565,0.00039663272055311816,0.004537301017123214,-0.005724177048207443,0.004467355986849599,0.002850499559353972
2015-10-30,0.0013264541672658146,0.006488527144195852,-0.014430526958754504,-0.001288800491820577,-0.006621662413373661,-0.011164302738820228,-0.006312969998922518,0.004581776918793791,-0.0062881524021853145,0.0021018323857438428
2015-11-02,0.006164304711435736,0.02310357712550307,0.013610908557918846,0.011541599265566048,0.008895074087718913,0.0059964699740958916,0.0,0.001142400129413627,0.02108247506354668,0.004559102878455679
2015-11-03,0.003942847017603712,0.02524540686037934,0.001637746497146417,0.000728186609946149,0.00520908270587821,-0.004793871439984912,0.012841313805271756,0.0029636487614577225,-0.003574503418191095,0.0038042215770300396
2015-11-04,-0.00658004037041369,-0.009003860403807596,-0.0028670268826881114,-0.002733647937021339,0.0011287812651145839,-0.004214219529577424,-0.004155342647791023,0.005221735135326901,-0.00441759152052162,-0.006512359865662843
2015-11-05,-0.005074534271913845,-0.008515548592341118,0.004093023828124882,0.001276241443601162,-0.0029376995980213167,-0.0002011787947283974,-0.00385101271065257,-0.008642504360372914,-0.003186961525904727,0.003568201758588569
2015-11-06,0.0026509041736911816,-0.005143888358721335,0.010160496718871806,0.0,0.003389029990912194,-0.01092040290981017,-0.03767815877103205,-0.03557255599316384,-0.004172793383513403,0.00012316582813796869
2015-11-09,-0.006862594035560218,-0.009935049595931543,-0.0109776219975775,-0.007684781274322869,-0.00974511025848446,-0.00673231247417926,-0.008045826178692515,0.002600397587594383,-0.007694991486834991,-0.013851521258160906
2015-11-10,-0.007356938648562367,0.0021680449451181466,0.004486938501093722,-0.0001838796638579308,-0.00662669073904686,0.0026574987732700195,0.010713173094176803,0.00893048930688072,0.006719283408974291,0.009419989084124784
2015-11-11,0.0011183579294830116,-0.021452494678603214,-0.0032612087807918975,0.0012850989628166722,-0.0004582893259099138,-0.0014299721221954778,0.0034568120846423765,0.008619921587413898,-0.00995504920431094,-0.005938788226607201
2015-11-12,-0.020321433713228768,-0.022979245598936923,-0.015223440791754297,-0.013670563813446765,-0.008753904470596818,-0.013585969001634259,-0.0061241590001265295,-0.009556499246668801,-0.017482866695971894,-0.009351710265241212
2015-11-13,0.012692965935628998,-0.004083815656537299,-0.008326586678426808,-0.004474584770917216,-0.019862833784172695,-0.008742671523171318,-0.013107563738472498,-0.0037538523307754667,-0.002440606883735211,-0.02665773249963566
2015-11-16,0.012756173921157186,0.03279972594727691,0.01205130677249886,0.01281027302894236,0.015224266604670566,0.016998303182300115,-0.0010153551547483943,0.016783574727161805,0.012427742922930782,0.01202004926478354
2015-11-17,-0.001112634812976673,-0.011061297434100616,-0.0020674180351066673,-0.0020315224242129773,0.00023255989383302975,-0.0004111253779645865,0.015457162141197378,-0.01819491026487962,0.004249910270239197,0.001905571312322453
2015-11-18,0.017652710250190072,0.016327596179086416,0.017641048792781232,0.013768074589110287,0.014992892154391263,0.013683559095107637,0.011768059519101048,0.006335788555732902,0.019320323027242573,0.01698217892176169
2015-11-19,-0.0010943731168628192,-0.013513969675636698,0.0016255350752173493,0.004365737599571488,0.004568148141954808,0.002633171695153213,0.005422408144812156,0.01070269991669718,-0.01691996971873474,0.0012468090766484634
2015-11-20,-0.003069927423794993,-0.010704845803725292,0.0016228969986427687,0.005070037641059805,0.007266529360950753,-0.007105505074682406,0.00816108672457481,0.004157256123461654,0.0085656832227026,0.01188829931957505
2015-11-23,0.001316704393610646,0.007149482711473277,-0.004062133353060421,-0.005070037641059678,-0.005900173615818393,0.00872312974791985,0.005187935943720132,-0.009261509207837406,-0.0025200840779175996,0.003687218987817647
2015-11-24,0.008300953305894948,0.021145681700530747,-0.0028527712285961156,-0.0016349919732321148,0.00022798444642604642,0.002622220358244098,-0.015317439883777859,-0.0013966760813517258,0.0030794036038175026,-0.00208790518763702
2015-11-25,-0.006328574026389969,-0.00817049009343473,0.0008157915938694304,0.0,-0.0031906379748987625,0.002615565120313816,0.0,-0.0060751149460329485,0.005434870316601753,0.0050268981930659115
2015-11-27,-0.0013142115611100883,-0.0072041500250164415,0.002443854841703575,0.0018166689270842922,0.0022801493082170734,0.0038098476881129844,0.0075250063182581055,0.0018733441950631858,0.001943720671098358,-0.003675748691603226
2015-11-30,0.0024082418913584044,0.0036820083706440646,-0.0008136830538812432,-0.006554957601936272,0.0011375415770938364,-0.010867249284245869,0.002279094665684929,0.0016365671880576242,-0.013687208454436963,-0.008505375030757323
2015-12-01,0.006973286133296904,0.00790761452807152,0.010933512238803482,0.004738288674851971,0.008832818466188084,0.00846258039578916,0.016417246177565584,0.007908124720120317,0.016735001241144465,0.010222545607870807
2015-12-02,-0.013554975064489305,-0.03140978383983382,-0.011748091076688623,-0.010233641534773937,-0.006333466258436523,-0.005028664543562358,-0.02065401886658318,-0.02249412731485208,-0.008472080818703879,-0.008737849754839454
2015-12-03,-0.00884390059548358,-0.02022122490702299,-0.016434624069520704,-0.012569344514487976,-0.01301805643577681,-0.005256644377911961,-0.020122832863257206,-0.007611821508520865,-0.022140071340684648,-0.01519521983257233
2015-12-04,0.01739173007468137,-0.0063168591970629425,0.026166971786716665,0.014771161389933765,0.02429981537227395,0.022251743162162132,0.020122832863257223,0.013990146260075716,0.023255022108457146,0.019142718475318
2015-12-07,-0.018058314717326412,-0.038763432491915294,-0.009325091890804535,-0.004960944191235578,-0.0049482926780604845,0.002771733508267376,0.0,0.004463617383344823,-0.005587926887207565,-0.004195217705233318
2015-12-08,-0.01906941071520814,-0.01033594137546404,-0.012707892023723492,-0.016154980016543884,-0.0024832617215124982,-0.0025734261043277966,0.00326064106350778,-0.0014076759216000664,0.002239274785358049,-0.002971594544934388
