asset,subset_raw_mean,subset_sinkh_mean,real_sub_mean,subset_raw_std,subset_sinkh_std,real_sub_std,subset_size,sinkhorn_cost,w2_before,w2_after,note
XLB,0.0010454825824126601,7.693593397100314e-05,7.693582557447709e-05,0.008048162795603275,0.008462155649872138,0.014189457897850196,500,0.015304071134005748,0.02950307356568976,0.02045344963200392,Subset-only: Sinkhorn OT applied to a 500-sample subset for diagnostic purposes. Not applied to full generated set.
XLE,-0.00022428658849094063,-0.0004266282195982691,-0.0004266284175529171,0.011900512501597404,0.014891549238741643,0.0227813833954065,500,0.015304071134005748,0.02950307356568976,0.02045344963200392,Subset-only: Sinkhorn OT applied to a 500-sample subset for diagnostic purposes. Not applied to full generated set.
XLF,0.0008974109077826142,0.0004435276233733876,0.0004435274951836377,0.00888087972998619,0.009723503246391098,0.015615216995798212,500,0.015304071134005748,0.02950307356568976,0.02045344963200392,Subset-only: Sinkhorn OT applied to a 500-sample subset for diagnostic purposes. Not applied to full generated set.
XLI,0.0009132631821557879,0.00017567496500108985,0.00017567485224421808,0.008058915846049786,0.008681178734678883,0.013941937507052495,500,0.015304071134005748,0.02950307356568976,0.02045344963200392,Subset-only: Sinkhorn OT applied to a 500-sample subset for diagnostic purposes. Not applied to full generated set.
XLK,0.0014884450938552618,0.0005447320712085781,0.0005447319815673975,0.008207844570279121,0.007386300241789418,0.013830069956383919,500,0.015304071134005748,0.02950307356568976,0.02045344963200392,Subset-only: Sinkhorn OT applied to a 500-sample subset for diagnostic purposes. Not applied to full generated set.
XLP,0.0006799319526180625,0.0003403316243484396,0.0003403315725367004,0.005929491017013788,0.00414856454539114,0.008578751184581264,500,0.015304071134005748,0.02950307356568976,0.02045344963200392,Subset-only: Sinkhorn OT applied to a 500-sample subset for diagnostic purposes. Not applied to full generated set.
XLRE,0.00016284464800264686,0.00013703911993632675,0.0001370390320664515,0.00789360050112009,0.0067039608963904715,0.012540093218343816,500,0.015304071134005748,0.02950307356568976,0.02045344963200392,Subset-only: Sinkhorn OT applied to a 500-sample subset for diagnostic purposes. Not applied to full generated set.
XLU,0.00013067135296296328,0.0003256489363603319,0.0003256488678046011,0.007787712849676609,0.005818183036979317,0.011779785801374785,500,0.015304071134005748,0.02950307356568976,0.02045344963200392,Subset-only: Sinkhorn OT applied to a 500-sample subset for diagnostic purposes. Not applied to full generated set.
XLV,0.00032914034090936184,0.00026709430744048236,0.00026709423878516943,0.007036327384412289,0.005573514169197693,0.010730271819143173,500,0.015304071134005748,0.02950307356568976,0.02045344963200392,Subset-only: Sinkhorn OT applied to a 500-sample subset for diagnostic purposes. Not applied to full generated set.
XLY,0.0007624097052030265,0.00047368070764200254,0.0004736806219684696,0.0074856821447610855,0.00674198549209583,0.011633559423287247,500,0.015304071134005748,0.02950307356568976,0.02045344963200392,Subset-only: Sinkhorn OT applied to a 500-sample subset for diagnostic purposes. Not applied to full generated set.
