,ann_ret,ann_vol,sharpe,cvar95,max_dd
Equal-Weight,0.05593786514871035,0.15412325042738828,0.3629424177961016,0.022632289295805,-0.18408308938627382
Markowitz,0.09032582569050152,0.17535885136401505,0.5150913397750337,0.026390841581051434,-0.17088448858981597
Wasserstein-Robust,0.05748498629843568,0.15120537008421733,0.3801782057503519,0.02220077133380609,-0.17923863307176158
Diffusion-MVO,0.11478645789097053,0.2531324528146747,0.45346401306753376,0.03543273927965289,-0.33131308960588224
