,ann_ret,ann_vol,sharpe,cvar95,max_dd,turnover,avg_max_weight,avg_hhi,sharpe_ci_lo,sharpe_ci_hi
Equal-Weight,0.0559,0.1541,0.3629,0.0226,-0.1841,0.0,0.1,0.1,-0.7591,1.4633
Markowitz,0.0903,0.1754,0.5151,0.0264,-0.1709,0.6173,0.6235,0.5408,-0.5976,1.5661
Wasserstein-Robust,0.0575,0.1512,0.3802,0.0222,-0.1792,0.0395,0.1212,0.1027,-0.7398,1.4828
Diffusion-Base,0.0869,0.2253,0.3856,0.0319,-0.3065,0.0,0.7622,0.6291,-0.7214,1.4926
Diffusion+GaussOT,0.0645,0.1656,0.3897,0.0242,-0.2298,0.0,0.3727,0.2599,-0.6949,1.4924
"Diffusion+FT(eta=0.5,base)",0.1131,0.1616,0.6997,0.0241,-0.1488,0.0,0.3854,0.3161,-0.3826,1.7609
