,ann_ret,ann_vol,sharpe,cvar95,max_dd,turnover,avg_max_weight,avg_hhi,sharpe_ci_lo,sharpe_ci_hi
Equal-Weight,0.0559,0.1541,0.3629,0.0226,-0.1841,0.0,0.1,0.1,-0.7591,1.4633
Markowitz,0.0903,0.1754,0.5151,0.0264,-0.1709,0.6173,0.6235,0.5408,-0.5976,1.5661
Wasserstein-Robust,0.0575,0.1512,0.3802,0.0222,-0.1792,0.0395,0.1212,0.1027,-0.7398,1.4828
Diffusion-Base,0.1148,0.2531,0.4535,0.0354,-0.3313,0.0,1.0,1.0,-0.6597,1.5505
Diffusion+GaussOT,0.065,0.1656,0.3926,0.0241,-0.2297,0.0,0.3779,0.264,-0.6907,1.4962
"Diffusion+FT(eta=1.0,ot_augmented)",-0.0108,0.1835,-0.0588,0.0269,-0.2882,0.0,0.681,0.52,-1.1809,1.057
"Diffusion+FT(eta=0.05,base)",-0.0463,0.2093,-0.2213,0.0302,-0.332,0.0,0.9911,0.9823,-1.367,0.8789
