asset,gen_mean,train_mean,gen_std,train_std,gen_kurtosis,train_kurtosis,bw_distance,cov_error,corr_error,hhi_gen,hhi_real
XLB,0.0010454825824126601,0.00045713010113250285,0.008048162795603275,0.014057594011552347,-0.1071922779083252,12.64527176786203,0.03033874837173711,0.0014045063379945644,6.4394672326041,0.629084958606424,0.2586334016761532
XLE,-0.00022428655938711017,-0.00028746502790801914,0.01190051157027483,0.020524199317936215,0.278461217880249,21.020090064748413,0.03033874837173711,0.0014045063379945644,6.4394672326041,0.629084958606424,0.2586334016761532
XLF,0.0008974108495749533,0.00041403244626271287,0.00888087972998619,0.015812887447561517,-0.3647170066833496,17.191665585337972,0.03033874837173711,0.0014045063379945644,6.4394672326041,0.629084958606424,0.2586334016761532
XLI,0.0009132631821557879,0.0004680925545257416,0.008058915846049786,0.013878145832391374,0.04219675064086914,16.30079013722021,0.03033874837173711,0.0014045063379945644,6.4394672326041,0.629084958606424,0.2586334016761532
XLK,0.0014884448610246181,0.000930459211692725,0.008207844570279121,0.0148572911029769,-0.2603325843811035,15.725576079556777,0.03033874837173711,0.0014045063379945644,6.4394672326041,0.629084958606424,0.2586334016761532
XLP,0.0006799319526180625,0.00034580883080054985,0.005929491017013788,0.010105228309970342,-0.34349846839904785,18.86405408121126,0.03033874837173711,0.0014045063379945644,6.4394672326041,0.629084958606424,0.2586334016761532
XLRE,0.000162844720762223,0.00028658898792625773,0.00789360050112009,0.013851159113469957,-0.18193411827087402,26.326536426294805,0.03033874837173711,0.0014045063379945644,6.4394672326041,0.629084958606424,0.2586334016761532
XLU,0.00013067132385913283,0.000403096591772786,0.007787712849676609,0.013055669463775791,-0.21848011016845703,21.598028378324322,0.03033874837173711,0.0014045063379945644,6.4394672326041,0.629084958606424,0.2586334016761532
XLV,0.0003291404282208532,0.00045610217882160987,0.007036327384412289,0.011678028797573863,0.09206032752990723,11.429943900258836,0.03033874837173711,0.0014045063379945644,6.4394672326041,0.629084958606424,0.2586334016761532
XLY,0.0007624097052030265,0.0006071301075884139,0.007485682610422373,0.012513552025528358,0.13782191276550293,19.881236204396657,0.03033874837173711,0.0014045063379945644,6.4394672326041,0.629084958606424,0.2586334016761532
