asset,real_mean,raw_mean,gauss_ot_mean,real_std,raw_std,gauss_ot_std,w2_raw,w2_gauss_ot,cov_err_raw,cov_err_gauss
XLB,0.00045713010113250285,0.0010454826,0.00045712975136636216,0.014057594011552347,0.008048163,0.013996573583526066,0.03033874837173711,0.000258063957340441,0.0014045063379945644,1.606952794511283e-05
XLE,-0.00028746502790801914,-0.00022428656,-0.00028746498666014695,0.020524199317936215,0.011900512,0.02045477612678451,0.03033874837173711,0.000258063957340441,0.0014045063379945644,1.606952794511283e-05
XLF,0.00041403244626271287,0.00089741085,0.0004140328847407987,0.015812887447561517,0.00888088,0.015742009124095322,0.03033874837173711,0.000258063957340441,0.0014045063379945644,1.606952794511283e-05
XLI,0.0004680925545257416,0.0009132632,0.00046809259368819624,0.013878145832391374,0.008058916,0.013823160834723618,0.03033874837173711,0.000258063957340441,0.0014045063379945644,1.606952794511283e-05
XLK,0.000930459211692725,0.0014884449,0.0009304585936766395,0.0148572911029769,0.008207845,0.01478255680075599,0.03033874837173711,0.000258063957340441,0.0014045063379945644,1.606952794511283e-05
XLP,0.00034580883080054985,0.00067993195,0.0003458087382310012,0.010105228309970342,0.005929491,0.010052312596245816,0.03033874837173711,0.000258063957340441,0.0014045063379945644,1.606952794511283e-05
XLRE,0.00028658898792625773,0.00016284472,0.00028658902549155783,0.013851159113469957,0.0078936005,0.01378462875261854,0.03033874837173711,0.000258063957340441,0.0014045063379945644,1.606952794511283e-05
XLU,0.000403096591772786,0.00013067132,0.0004030965444617981,0.013055669463775791,0.007787713,0.012990476433277031,0.03033874837173711,0.000258063957340441,0.0014045063379945644,1.606952794511283e-05
XLV,0.00045610217882160987,0.00032914043,0.0004561019858378424,0.011678028797573863,0.0070363274,0.011625963129640414,0.03033874837173711,0.000258063957340441,0.0014045063379945644,1.606952794511283e-05
XLY,0.0006071301075884139,0.0007624097,0.0006071300140541234,0.012513552025528358,0.0074856826,0.012462491350287607,0.03033874837173711,0.000258063957340441,0.0014045063379945644,1.606952794511283e-05
